id;tipo_contacto;descricao;contacto;mostrar_documento;instituicao_ensino_id
1;Gorgeous Cotton Fish alliance quantify;Games;Sri Lanka Rupee;true;1
2;innovate;cross-media Handcrafted Wooden Car;Mozambique;true;2
3;Lilangeni;Consultant;hierarchy mindshare;true;3
4;Balboa US Dollar;real-time Internal;Sleek Rubber Bacon Tuna Chicken;true;4
5;Motorway haptic;tan;Wooden wireless parsing;false;5
6;Buckinghamshire integrate solid state;Rwanda Franc;Bacon Baby;false;6
7;Group Architect deposit;Representative Tasty Rubber Table;Ergonomic Infrastructure 1080p;false;7
8;backing up hard drive Colorado;Faroe Islands;Harbor payment Lead;true;8
9;Generic Granite Mouse;Soap;withdrawal;false;9
10;South Dakota;open system Cambridgeshire;proactive;false;10
