id;nome;sigla;descricao;usuario;entidade_id
1;program Frozen;Electronics hacking Savings Account;../fake-data/blob/hipster.txt;true;1
2;Shirt Pakistan Rupee;clicks-and-mortar instruction set;../fake-data/blob/hipster.txt;false;2
3;Swiss Franc;Movies Ergonomic bus;../fake-data/blob/hipster.txt;false;3
4;pixel HTTP;violet Bedfordshire;../fake-data/blob/hipster.txt;false;4
5;magnetic system-worthy Cotton;superstructure Fantastic;../fake-data/blob/hipster.txt;false;5
6;Program;methodology;../fake-data/blob/hipster.txt;false;6
7;Pants neural;Loop;../fake-data/blob/hipster.txt;false;7
8;Agent;Cotton;../fake-data/blob/hipster.txt;true;8
9;connect;microchip deposit;../fake-data/blob/hipster.txt;false;9
10;digital deposit Fundamental;end-to-end Sausages web-enabled;../fake-data/blob/hipster.txt;true;10
