id;tipo_subscricao;inicio;fim;data;valor;codigo;numero_usuario;numero_instituicao_ensino;instituicao_ensino_id
1;COM;2020-01-26T03:48:57;2020-01-26T05:58:10;2020-01-25T14:50:59;7300;Open-source Auto Loan Account;10767;48638;1
2;B2C Cross-platform;2020-01-26T01:38:29;2020-01-26T01:07:59;2020-01-25T16:21:41;62271;Rhode Island;71395;23574;2
3;Granite Fresh solid state;2020-01-25T20:24:59;2020-01-26T05:06:37;2020-01-25T21:16:13;16822;THX;42168;26517;3
4;Sleek;2020-01-26T11:56:43;2020-01-26T12:55:38;2020-01-25T21:51:13;92519;driver;27301;42277;4
5;content-based maximized clear-thinking;2020-01-26T12:22:31;2020-01-26T05:39:18;2020-01-26T01:29:56;34598;Home Loan Account Sausages;16334;78127;5
6;Pre-emptive;2020-01-25T20:02:36;2020-01-25T14:57:03;2020-01-25T21:47:53;40261;1080p Borders Small Soft Chair;39719;31968;6
7;invoice haptic Rubber;2020-01-25T15:19:25;2020-01-25T14:25:48;2020-01-26T07:42:42;22210;RAM bypassing Chair;37838;61694;7
8;Kentucky viral;2020-01-26T06:38:10;2020-01-26T02:23:23;2020-01-26T09:06:20;57700;Computers;91711;95364;8
9;Mozambique Ball override;2020-01-26T05:00:50;2020-01-25T15:32:33;2020-01-26T01:51:46;44474;projection leading-edge monitor;51920;47236;9
10;Division application;2020-01-26T05:51:10;2020-01-26T06:24:58;2020-01-26T00:56:57;23983;Euro;7508;63291;10
